[21:14:39.470262] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[21:14:39.498930] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[21:14:39.500673] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[21:14:43.080351] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 3.609936
[21:14:43.082240] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[21:14:43.082314] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000626, total=0.801861, count=1280
[21:14:43.082329] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000326, total=0.417916, count=1280
[21:14:43.082337] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=3, name=write, avg=0.038228, total=48.931583, count=1280
[21:14:43.082344] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.047267, total=105.879047, count=2240
[21:14:43.082442] [WARNING] [pdc_server.c:696] PDC_SERVER[11]: [TIMER] id=0, name=open, avg=0.000796, total=1.019429, count=1280
[21:14:43.082507] [WARNING] [pdc_server.c:696] PDC_SERVER[11]: [TIMER] id=1, name=close, avg=0.000271, total=0.347125, count=1280
[21:14:43.082512] [WARNING] [pdc_server.c:696] PDC_SERVER[11]: [TIMER] id=3, name=write, avg=0.038569, total=49.367988, count=1280
[21:14:43.082517] [WARNING] [pdc_server.c:696] PDC_SERVER[11]: [TIMER] id=4, name=total_graph_exec, avg=0.049063, total=109.901947, count=2240
[21:14:43.082395] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=0, name=open, avg=0.000598, total=0.764848, count=1280
[21:14:43.082465] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=1, name=close, avg=0.000308, total=0.394205, count=1280
[21:14:43.082471] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=3, name=write, avg=0.038769, total=49.623690, count=1280
[21:14:43.082476] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=4, name=total_graph_exec, avg=0.045861, total=102.728537, count=2240
[21:14:43.082330] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=0, name=open, avg=0.000977, total=1.250135, count=1280
[21:14:43.082392] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=1, name=close, avg=0.000299, total=0.382864, count=1280
[21:14:43.082398] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=3, name=write, avg=0.038905, total=49.798363, count=1280
[21:14:43.082402] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=4, name=total_graph_exec, avg=0.048014, total=107.552193, count=2240
[21:14:43.082694] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=0, name=open, avg=0.001133, total=1.450216, count=1280
[21:14:43.082725] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=1, name=close, avg=0.000260, total=0.332779, count=1280
[21:14:43.082738] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=3, name=write, avg=0.039228, total=50.211809, count=1280
[21:14:43.082744] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=4, name=total_graph_exec, avg=0.050087, total=112.195623, count=2240
[21:14:43.083042] [WARNING] [pdc_server.c:696] PDC_SERVER[13]: [TIMER] id=0, name=open, avg=0.000468, total=0.598959, count=1280
[21:14:43.083110] [WARNING] [pdc_server.c:696] PDC_SERVER[13]: [TIMER] id=1, name=close, avg=0.000257, total=0.328610, count=1280
[21:14:43.083116] [WARNING] [pdc_server.c:696] PDC_SERVER[13]: [TIMER] id=3, name=write, avg=0.038958, total=49.866474, count=1280
[21:14:43.083121] [WARNING] [pdc_server.c:696] PDC_SERVER[13]: [TIMER] id=4, name=total_graph_exec, avg=0.046348, total=103.819295, count=2240
[21:14:43.083049] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=0, name=open, avg=0.000944, total=1.208815, count=1280
[21:14:43.083102] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=1, name=close, avg=0.000282, total=0.361248, count=1280
[21:14:43.083109] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=3, name=write, avg=0.039405, total=50.438702, count=1280
[21:14:43.083114] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=4, name=total_graph_exec, avg=0.047322, total=106.000883, count=2240
[21:14:43.083047] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=0, name=open, avg=0.000488, total=0.624387, count=1280
[21:14:43.083121] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=1, name=close, avg=0.000278, total=0.355216, count=1280
[21:14:43.083127] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=3, name=write, avg=0.038327, total=49.059092, count=1280
[21:14:43.083150] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=0, name=open, avg=0.000532, total=0.680470, count=1280
[21:14:43.083209] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=1, name=close, avg=0.000304, total=0.388975, count=1280
[21:14:43.083215] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=3, name=write, avg=0.038964, total=49.873533, count=1280
[21:14:43.083221] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=4, name=total_graph_exec, avg=0.046903, total=105.061885, count=2240
[21:14:43.083133] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=4, name=total_graph_exec, avg=0.046724, total=104.661169, count=2240
[21:14:43.083103] [WARNING] [pdc_server.c:696] PDC_SERVER[15]: [TIMER] id=0, name=open, avg=0.000756, total=0.967143, count=1280
[21:14:43.083157] [WARNING] [pdc_server.c:696] PDC_SERVER[15]: [TIMER] id=1, name=close, avg=0.000293, total=0.375578, count=1280
[21:14:43.083176] [WARNING] [pdc_server.c:696] PDC_SERVER[15]: [TIMER] id=3, name=write, avg=0.038883, total=49.770597, count=1280
[21:14:43.083182] [WARNING] [pdc_server.c:696] PDC_SERVER[15]: [TIMER] id=4, name=total_graph_exec, avg=0.049740, total=111.417727, count=2240
[21:14:43.083194] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=0, name=open, avg=0.000605, total=0.774017, count=1280
[21:14:43.083238] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=1, name=close, avg=0.000319, total=0.408097, count=1280
[21:14:43.083252] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=3, name=write, avg=0.038450, total=49.215566, count=1280
[21:14:43.083258] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=4, name=total_graph_exec, avg=0.046963, total=105.197095, count=2240
[21:14:43.083301] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=0, name=open, avg=0.000641, total=0.820539, count=1280
[21:14:43.083354] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=1, name=close, avg=0.000292, total=0.373258, count=1280
[21:14:43.083379] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=3, name=write, avg=0.038335, total=49.069117, count=1280
[21:14:43.083388] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=4, name=total_graph_exec, avg=0.046819, total=104.874547, count=2240
[21:14:43.083322] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=0, name=open, avg=0.000451, total=0.576864, count=1280
[21:14:43.083398] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=1, name=close, avg=0.000283, total=0.362221, count=1280
[21:14:43.083388] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=0, name=open, avg=0.000681, total=0.871279, count=1280
[21:14:43.083453] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=1, name=close, avg=0.000270, total=0.344994, count=1280
[21:14:43.083460] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=3, name=write, avg=0.038663, total=49.489220, count=1280
[21:14:43.083465] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=4, name=total_graph_exec, avg=0.046969, total=105.211086, count=2240
[21:14:43.083404] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=3, name=write, avg=0.038682, total=49.512463, count=1280
[21:14:43.083410] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=4, name=total_graph_exec, avg=0.045821, total=102.639453, count=2240
[21:14:43.083344] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=0, name=open, avg=0.000496, total=0.635397, count=1280
[21:14:43.083417] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=1, name=close, avg=0.000309, total=0.395218, count=1280
[21:14:43.083424] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=3, name=write, avg=0.038358, total=49.098166, count=1280
[21:14:43.083429] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=4, name=total_graph_exec, avg=0.046202, total=103.492367, count=2240
[21:14:43.083453] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=0, name=open, avg=0.000621, total=0.794634, count=1280
[21:14:43.083501] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=1, name=close, avg=0.000257, total=0.328833, count=1280
[21:14:43.083518] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=3, name=write, avg=0.038749, total=49.598977, count=1280
[21:14:43.083524] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=4, name=total_graph_exec, avg=0.047551, total=106.514156, count=2240
