Step,Obj create time,Transfer create time,Transfer start time,Transfer wait time,Transfer close time,Obj close time,Total time
0,3.56943e-02,1.30524e-03,8.88178e-01,1.04174e-01,1.01093e-01,2.87034e-04,1.13073
1,1.27033e-03,1.06636e-04,9.83529e-01,6.85238e-02,1.01416e-01,3.95885e-03,1.1588
2,1.31683e-03,1.49669e-04,1.00775e+00,9.05552e-02,1.05324e-01,5.83103e-03,1.21093
3,2.59557e-03,1.19530e-04,1.06754e+00,8.72924e-02,8.27517e-02,3.68798e-03,1.24399
4,1.29637e-03,1.37185e-04,1.08765e+00,4.12800e+00,9.30851e-02,1.30627e-03,5.31147
