Step,Obj create time,Transfer create time,Transfer start time,Transfer wait time,Transfer close time,Obj close time,Total time
0,3.02599e-02,1.21981e-03,8.80361e-01,4.68259e-02,8.03963e-02,6.42224e-04,1.03971
1,1.08602e-03,1.10945e-04,1.00097e+00,9.20193e-02,9.70987e-02,4.55843e-04,1.19174
2,1.27065e-03,1.06666e-04,1.02486e+00,1.15982e-01,1.07547e-01,3.46491e-04,1.25011
3,1.34213e-03,1.28149e-04,9.78962e-01,9.35352e-02,7.08278e-02,1.09097e-03,1.14589
4,2.16865e-03,1.36705e-04,1.03112e+00,5.47990e+00,1.35035e-01,2.77086e-03,6.65113
