Step,Obj create time,Transfer create time,Transfer start time,Transfer wait time,Transfer close time,Obj close time,Total time
0,3.61852e-02,2.60656e-04,8.86997e-01,4.86382e-02,8.82193e-02,1.94077e-04,1.06049
1,1.35735e-03,1.02980e-04,9.89206e-01,9.92793e-02,1.05064e-01,2.46388e-04,1.19526
2,4.12830e-03,1.22417e-04,1.00841e+00,7.98209e-02,1.30361e-01,1.44838e-03,1.22429
3,1.24121e-03,1.03431e-04,1.00269e+00,6.80187e-02,1.28999e-01,2.69684e-04,1.20132
4,1.30625e-03,1.03581e-04,1.11314e+00,5.72807e+00,1.17090e-01,1.22930e-03,6.96094
