Step,Obj create time,Transfer create time,Transfer start time,Transfer wait time,Transfer close time,Obj close time,Total time
0,3.84703e-02,8.69353e-04,8.82780e-01,4.12981e-02,8.63839e-02,2.39490e-04,1.05004
1,1.34264e-03,1.11365e-04,1.02591e+00,7.20202e-02,1.00525e-01,2.79718e-04,1.20019
2,2.07135e-03,1.11405e-04,1.05708e+00,1.03975e-01,1.15623e-01,2.65731e-04,1.27913
3,1.24978e-03,1.07667e-04,1.08686e+00,5.00289e-02,1.04810e-01,1.86479e-04,1.24324
4,2.15007e-03,1.07807e-04,1.14030e+00,5.16292e+00,1.05072e-01,1.32061e-03,6.41187
