[02:06:32.406737] [WARNING] [pdc_server.c:1641] PDC_SERVER[0]: Restart from checkpoint start
[02:06:32.408883] [WARNING] [pdc_server.c:1914] PDC_SERVER[0]: Reading checkpoint transformations start
[02:06:32.411210] [WARNING] [pdc_server.c:2040] PDC_SERVER[0]: Reading checkpoint transformations done
[02:06:32.414880] [WARNING] [pdc_server.c:2064] PDC_SERVER[0]: Restart from checkpoint done
[02:06:42.459320] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 64
[02:06:42.459336] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 4 and size to 16 MB
[02:15:28.195242] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[02:15:28.215731] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[02:15:28.216621] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[02:15:28.225366] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 0.030112
[02:15:28.226958] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[02:15:28.227022] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000485, total=0.465322, count=960
[02:15:28.227034] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000355, total=0.341109, count=960
[02:15:28.227039] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=2, name=read, avg=0.022066, total=21.183118, count=960
[02:15:28.227044] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.394975, total=379.175649, count=960
[02:15:28.227012] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=0, name=open, avg=0.000544, total=0.521809, count=960
[02:15:28.227094] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=1, name=close, avg=0.000451, total=0.433160, count=960
[02:15:28.227101] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=2, name=read, avg=0.022162, total=21.275725, count=960
[02:15:28.227105] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=4, name=total_graph_exec, avg=0.396962, total=381.083108, count=960
[02:15:28.227044] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=0, name=open, avg=0.000523, total=0.502222, count=960
[02:15:28.227117] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=1, name=close, avg=0.000383, total=0.367909, count=960
[02:15:28.227123] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=2, name=read, avg=0.021767, total=20.896715, count=960
[02:15:28.227128] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=4, name=total_graph_exec, avg=0.397269, total=381.378488, count=960
[02:15:28.227043] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=0, name=open, avg=0.000531, total=0.509630, count=960
[02:15:28.227113] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=1, name=close, avg=0.000379, total=0.364288, count=960
[02:15:28.227119] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=2, name=read, avg=0.022059, total=21.176927, count=960
[02:15:28.227124] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=4, name=total_graph_exec, avg=0.395770, total=379.938956, count=960
[02:15:28.227361] [WARNING] [pdc_server.c:696] PDC_SERVER[59]: [TIMER] id=0, name=open, avg=0.000471, total=0.452200, count=960
[02:15:28.227424] [WARNING] [pdc_server.c:696] PDC_SERVER[59]: [TIMER] id=1, name=close, avg=0.000421, total=0.403743, count=960
[02:15:28.227429] [WARNING] [pdc_server.c:696] PDC_SERVER[59]: [TIMER] id=2, name=read, avg=0.015974, total=15.334840, count=960
[02:15:28.227433] [WARNING] [pdc_server.c:696] PDC_SERVER[59]: [TIMER] id=4, name=total_graph_exec, avg=0.395809, total=379.976382, count=960
[02:15:28.227046] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=0, name=open, avg=0.000491, total=0.471334, count=960
[02:15:28.227111] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=1, name=close, avg=0.000340, total=0.326050, count=960
[02:15:28.227117] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=2, name=read, avg=0.025388, total=24.372760, count=960
[02:15:28.227121] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=4, name=total_graph_exec, avg=0.398669, total=382.722412, count=960
[02:15:28.227041] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=0, name=open, avg=0.000511, total=0.490096, count=960
[02:15:28.227113] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=1, name=close, avg=0.000264, total=0.253909, count=960
[02:15:28.227119] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=2, name=read, avg=0.042458, total=40.760012, count=960
[02:15:28.227123] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=4, name=total_graph_exec, avg=0.403720, total=387.571558, count=960
[02:15:28.227056] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=0, name=open, avg=0.000510, total=0.489297, count=960
[02:15:28.227119] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=1, name=close, avg=0.000369, total=0.354135, count=960
[02:15:28.227132] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=2, name=read, avg=0.022190, total=21.302409, count=960
[02:15:28.227138] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=4, name=total_graph_exec, avg=0.395443, total=379.625549, count=960
[02:15:28.227061] [WARNING] [pdc_server.c:696] PDC_SERVER[54]: [TIMER] id=0, name=open, avg=0.000534, total=0.512169, count=960
[02:15:28.227135] [WARNING] [pdc_server.c:696] PDC_SERVER[54]: [TIMER] id=1, name=close, avg=0.000344, total=0.330407, count=960
[02:15:28.227141] [WARNING] [pdc_server.c:696] PDC_SERVER[54]: [TIMER] id=2, name=read, avg=0.022203, total=21.314657, count=960
[02:15:28.227146] [WARNING] [pdc_server.c:696] PDC_SERVER[54]: [TIMER] id=4, name=total_graph_exec, avg=0.397167, total=381.280258, count=960
[02:15:28.227037] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=0, name=open, avg=0.000521, total=0.500314, count=960
[02:15:28.227110] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=1, name=close, avg=0.000376, total=0.360823, count=960
[02:15:28.227116] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=2, name=read, avg=0.022453, total=21.554879, count=960
[02:15:28.227121] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=4, name=total_graph_exec, avg=0.397468, total=381.569737, count=960
[02:15:28.227022] [WARNING] [pdc_server.c:696] PDC_SERVER[51]: [TIMER] id=0, name=open, avg=0.000506, total=0.485638, count=960
