[00:57:26.192958] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 32
[00:57:26.193010] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 8 and size to 16 MB
[01:04:20.911788] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[01:04:20.940458] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[01:04:20.941416] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[01:04:32.315905] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 11.404084
[01:04:32.317753] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[01:04:32.317823] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000511, total=0.490671, count=960
[01:04:32.317835] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000197, total=0.188903, count=960
[01:04:32.317840] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=3, name=write, avg=0.037547, total=36.044966, count=960
[01:04:32.317846] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.434740, total=417.350077, count=960
[01:04:32.317882] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=0, name=open, avg=0.000466, total=0.447491, count=960
[01:04:32.317955] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=1, name=close, avg=0.000198, total=0.190201, count=960
[01:04:32.317981] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=3, name=write, avg=0.037939, total=36.421674, count=960
[01:04:32.317986] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=4, name=total_graph_exec, avg=0.435984, total=418.545095, count=960
[01:04:32.317942] [WARNING] [pdc_server.c:696] PDC_SERVER[30]: [TIMER] id=0, name=open, avg=0.000467, total=0.448725, count=960
[01:04:32.318004] [WARNING] [pdc_server.c:696] PDC_SERVER[30]: [TIMER] id=1, name=close, avg=0.000210, total=0.201175, count=960
[01:04:32.318026] [WARNING] [pdc_server.c:696] PDC_SERVER[30]: [TIMER] id=3, name=write, avg=0.037686, total=36.178921, count=960
[01:04:32.318031] [WARNING] [pdc_server.c:696] PDC_SERVER[30]: [TIMER] id=4, name=total_graph_exec, avg=0.436749, total=419.279008, count=960
[01:04:32.317938] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=0, name=open, avg=0.000517, total=0.496002, count=960
[01:04:32.318016] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=1, name=close, avg=0.000200, total=0.192108, count=960
[01:04:32.318022] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=3, name=write, avg=0.037344, total=35.850357, count=960
[01:04:32.318027] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=4, name=total_graph_exec, avg=0.436267, total=418.816254, count=960
