[01:04:32.849125] [WARNING] [pdc_server.c:1641] PDC_SERVER[0]: Restart from checkpoint start
[01:04:32.851091] [WARNING] [pdc_server.c:1914] PDC_SERVER[0]: Reading checkpoint transformations start
[01:04:32.853426] [WARNING] [pdc_server.c:2040] PDC_SERVER[0]: Reading checkpoint transformations done
[01:04:32.856472] [WARNING] [pdc_server.c:2064] PDC_SERVER[0]: Restart from checkpoint done
[01:04:40.975127] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 32
[01:04:40.975147] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 8 and size to 16 MB
[01:14:40.687369] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[01:14:40.714341] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[01:14:40.715264] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[01:14:40.723961] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 0.036246
[01:14:40.725202] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[01:14:40.725256] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000540, total=0.518460, count=960
[01:14:40.725267] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000241, total=0.230972, count=960
[01:14:40.725272] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=2, name=read, avg=0.038089, total=36.565851, count=960
[01:14:40.725277] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.401867, total=385.791906, count=960
[01:14:40.725229] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=0, name=open, avg=0.000418, total=0.401077, count=960
[01:14:40.725304] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=1, name=close, avg=0.000299, total=0.286899, count=960
[01:14:40.725310] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=2, name=read, avg=0.030106, total=28.902102, count=960
[01:14:40.725316] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=4, name=total_graph_exec, avg=0.399508, total=383.527957, count=960
[01:14:40.725301] [WARNING] [pdc_server.c:696] PDC_SERVER[28]: [TIMER] id=0, name=open, avg=0.000451, total=0.432959, count=960
[01:14:40.725377] [WARNING] [pdc_server.c:696] PDC_SERVER[28]: [TIMER] id=1, name=close, avg=0.000241, total=0.231183, count=960
[01:14:40.725383] [WARNING] [pdc_server.c:696] PDC_SERVER[28]: [TIMER] id=2, name=read, avg=0.030190, total=28.982714, count=960
