[12:29:44.626722] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 4
[12:29:44.626769] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 64 and size to 16 MB
[12:34:28.050343] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[12:34:28.076747] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[12:34:28.077788] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[12:34:28.078048] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 0.027687
[12:34:28.079236] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[12:34:28.079743] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000469, total=0.450133, count=960
[12:34:28.079755] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000240, total=0.230310, count=960
[12:34:28.079761] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=3, name=write, avg=0.034742, total=33.351983, count=960
[12:34:28.079765] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.347378, total=333.482573, count=960
[12:34:28.080441] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=0, name=open, avg=0.000429, total=0.411369, count=960
[12:34:28.080535] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=1, name=close, avg=0.000206, total=0.197909, count=960
[12:34:28.080542] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=3, name=write, avg=0.034749, total=33.359162, count=960
[12:34:28.080547] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=4, name=total_graph_exec, avg=0.343094, total=329.370160, count=960
[12:34:28.080472] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=0, name=open, avg=0.000503, total=0.482481, count=960
[12:34:28.080541] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=1, name=close, avg=0.000247, total=0.237529, count=960
[12:34:28.080568] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=3, name=write, avg=0.034458, total=33.079321, count=960
[12:34:28.080574] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=4, name=total_graph_exec, avg=0.343964, total=330.205362, count=960
[12:34:28.080534] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=0, name=open, avg=0.000501, total=0.481354, count=960
[12:34:28.080612] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=1, name=close, avg=0.000211, total=0.202104, count=960
[12:34:28.080620] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=3, name=write, avg=0.034689, total=33.301028, count=960
[12:34:28.080625] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=4, name=total_graph_exec, avg=0.344227, total=330.458100, count=960
