[14:21:13.728717] [WARNING] [pdc_server.c:1641] PDC_SERVER[0]: Restart from checkpoint start
[14:21:13.730439] [WARNING] [pdc_server.c:1914] PDC_SERVER[0]: Reading checkpoint transformations start
[14:21:13.732754] [WARNING] [pdc_server.c:2040] PDC_SERVER[0]: Reading checkpoint transformations done
[14:21:13.734535] [WARNING] [pdc_server.c:2064] PDC_SERVER[0]: Restart from checkpoint done
[14:21:21.683329] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 32
[14:21:21.683344] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 8 and size to 16 MB
[14:29:37.008974] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[14:29:37.030072] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[14:29:37.030953] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[14:29:37.044339] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 0.035352
[14:29:37.045794] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[14:29:37.045849] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.004631, total=4.445675, count=960
[14:29:37.045860] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000440, total=0.422205, count=960
[14:29:37.045865] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=2, name=read, avg=0.016054, total=15.411611, count=960
[14:29:37.045870] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.394780, total=378.988650, count=960
[14:29:37.045862] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=0, name=open, avg=0.004944, total=4.746141, count=960
[14:29:37.045924] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=1, name=close, avg=0.000614, total=0.589484, count=960
[14:29:37.045936] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=2, name=read, avg=0.022283, total=21.391702, count=960
[14:29:37.045941] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=4, name=total_graph_exec, avg=0.395546, total=379.724376, count=960
[14:29:37.045862] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=0, name=open, avg=0.002726, total=2.616979, count=960
[14:29:37.045934] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=1, name=close, avg=0.000754, total=0.723949, count=960
[14:29:37.045952] [WARNING] [pdc_server.c:696] PDC_SERVER[14]: [TIMER] id=2, name=read, avg=0.022506, total=21.605776, count=960
